Subject,Story,Case,Explanation 0,Explanation 1,Explanation 2,Explanation 3,Explanation 4,Explanation 5,Explanation 6,Explanation 7,Reasoning
62,food allergy,didn't eat,7,7,7,7,7,7,7,3,"He either actively avoided the food as many people with allergies do, or he just wasnt hungry. "
64,food allergy,didn't eat,7,7,7,7,7,7,7,7,Alex would have avoided the appetizer if he'd known that any of it's ingredients contained the benzatrate he's allergic to.
68,food allergy,didn't eat,7,7,7,7,7,7,7,1,David probably knows what foods trigger his allergies so he passed on the item as one or more had the ingredient his is allergic to.
71,food allergy,didn't eat,3,3,3,3,3,3,3,6,Matt either had uncommon knowledge or is really lucky.
72,food allergy,didn't eat,7,7,7,7,7,7,7,4,"If you know ANY of the ingredients has something you're severely allergic to, you shouldn't eat it due to the consequences. In the case that he didn't know, it's still an okay explanation. Maybe he just didn't like the food?"
73,food allergy,didn't eat,7,7,7,7,7,7,7,1,As Matt has allergic problems to benzatrate and after he knows that the apetizer served at the party has it it will be wise if he avoids those and he rightly did.
74,food allergy,didn't eat,3,6,6,5,5,6,5,5,David conscious about health 
76,food allergy,didn't eat,7,7,7,7,7,7,7,4,I think that the fact that he avoided it even if he didn't know is kind of acceptable but should be improved upon but the other instances are perfect as he has knowledge of the contents of each ingredient but he needs to improve this knowledge.
79,food allergy,didn't eat,7,7,7,7,7,7,7,1,Matt decided not to eat the food because he knew he was allergic to a chemical in the ingredients.
80,food allergy,didn't eat,7,7,7,7,7,7,7,1,Any explanation where Matt knew the allergen would give an equally valid and strong reason. 
84,food allergy,didn't eat,5,5,5,5,5,5,7,5,"Jason might not have been hungry, or he might have known that all three of the appetizers had benzatrate. He might have been unsure about all of them and he might have wanted to avoid the possibility that they might have the additive."
85,food allergy,didn't eat,5,5,5,5,6,5,6,6,nothing to say
86,food allergy,didn't eat,7,7,7,7,7,7,7,1,David knows about his allergy so he must know what foods he can or cannot eat.
87,food allergy,didn't eat,7,7,7,7,7,7,7,2,Alex only had to know that one item contained benzatrate because that one item would then be dangerous for him. He didn't have to know anything else.
88,food allergy,didn't eat,5,5,4,4,5,4,5,4,I think Matt did the best he could given what he could reasonably tell 
89,food allergy,didn't eat,6,2,4,5,3,2,5,6,just what sounded best
94,food allergy,didn't eat,7,7,7,7,7,7,7,1,It makes sense for him not to eat the appetizer that contained benzatrate in all the ingredients as he was probably well aware. 
96,food allergy,didn't eat,5,5,5,5,5,5,5,4,alex is probably knowledgeable about what foods potentially contain the additive that he is allergic to
102,food allergy,didn't eat,7,7,7,7,7,7,7,3,"Well he knew that the food contained benzatrate, so he didn't eat any of it. It would have been a bad explanation to me if he knew that the food contained benzatrate and he decided to eat it anyway."
103,food allergy,didn't eat,7,7,7,7,7,7,7,1,Jacob knew that all of the appetizers had benzatrate and he knew he was allergic to it.
106,food allergy,didn't eat,2,2,6,2,2,2,2,2,David probably assumed that bacon had the additive
107,food allergy,didn't eat,7,7,7,7,7,7,7,7,"Jacob either knew he was allergic to an ingredient or didn't know whether teh ingredients contained the chemical. Either way, he was being appropriately cautious for his allergy."
108,food allergy,didn't eat,7,7,7,7,7,7,7,7,If the only reason to reject the appetizer was the presence of  benzatrate then its presence in any of the components would be a good explanation. Not knowing that the appetizer does not contain benzatrate is also a good explanation for rejecting the appetizer.
109,food allergy,didn't eat,5,5,5,6,6,6,7,1,"If David knew all the food had benzatrate, then not eating any of it makes sense. If he knew only one or two of the foods had benzatrate , then it doesn't explain why he didn't eat the remaining food(s). If he didn't know any of them had benzatrate, then no reason is given for why he didn't eat the foods."
111,food allergy,didn't eat,6,6,6,6,6,6,6,4,He knew that some contained benzatrate so he erred on the side of caution
116,food allergy,didn't eat,4,1,3,5,6,5,4,3,Just given an explanation based on the information
118,food allergy,didn't eat,7,7,7,7,7,7,7,1,"it doesn't matter if he knew whether 1,2 or 3 ingredients contained benzatrate - he'd still be severely allergic. The last answer doesn't provide an explanation."
120,food allergy,didn't eat,7,7,7,7,7,7,7,3,"If he knew benzatrate was in dish, he wouldn't have eaten it. If he was still weary that those things were in there, I would understand that he would be cautious."
121,food allergy,didn't eat,7,7,7,7,7,7,7,1,Alex wouldn't eat the food if they knew they contained benzatrate
123,food allergy,didn't eat,6,6,6,6,6,6,6,2,"When you have allergies you need to know what foods do what, so he knew based on knowledge."
126,food allergy,didn't eat,5,5,5,5,5,6,5,2,"A person who is suffering from some kind of severe allergy has a tendency to know what kind of things could start off symptoms for that allergy, so jacob would have already researched on what foods contain benzatrate."
129,food allergy,didn't eat,7,7,7,7,7,7,7,6,"They're all good explanations, even the one where he didn't know. He should eat carefully and with confidence."
137,food allergy,didn't eat,7,7,7,7,7,7,7,3,good judgement to avoid the foods 
140,food allergy,didn't eat,5,5,5,5,5,5,6,2,It's an good explanation as to why Jacob didn't eat the appetizer. 
141,food allergy,didn't eat,5,7,6,3,3,2,5,3,Alex thought the food smelled bad
143,food allergy,didn't eat,7,7,7,7,7,7,7,1,Matt is severely allergic
144,food allergy,didn't eat,7,7,7,7,6,7,7,3,"If she knew at least one of the ingredients contained benzatrate, that was enough to warrant her not eating the dish."
145,food allergy,didn't eat,7,7,7,7,7,7,7,2,If Alex knows that at least one of the ingredients of the appetizer contains the additive that triggers his allergic reaction then he will not eat it.
146,food allergy,didn't eat,5,3,5,4,4,3,5,4,that how it be
147,food allergy,didn't eat,6,3,4,6,7,7,3,5,I went with my guy feeling and what I thought seems to be the best logic.
148,food allergy,didn't eat,7,7,7,7,7,7,7,2,"If any one of the ingredients has a chance of containing benzatrate, it's best to stay away from the appetizer altogether in order to avoid an allergic reaction."
150,food allergy,didn't eat,7,7,7,7,7,7,7,7,"He could have knew or didn't know for sure, but he didn't want to take a chance."
158,food allergy,didn't eat,7,7,7,7,7,7,7,1,"Jacob would probably educate himself on benzatrate since he is allergic, it's common, and most other people probably can't tell him what it is found in."
159,food allergy,didn't eat,7,7,7,7,7,7,7,3,If he knew it contained it then of course it makes sense.
160,food allergy,didn't eat,5,6,6,5,5,6,5,5,Chances are he knew that he couldn't eat the bell pepper or the bacon. Those are pretty common. He likely knows about goat cheese too but I'm not sure.
161,food allergy,didn't eat,7,7,7,7,7,7,7,1,"If David knew that any of the ingredients contained benzatrate, that would be a very good explanation for his behavior."
162,food allergy,didn't eat,6,6,6,6,6,6,6,2,i feel like he would know that these products had these things in it and would avoid them.
163,food allergy,didn't eat,6,6,6,6,6,6,6,2,"If he's severely allergic, he should know. "
166,food allergy,didn't eat,7,7,7,7,7,7,7,1,If David knew any or all of the foods contained the substance he was allergic to it would certainly be a natural explanation as to why he didn't eat any of them. It's also possible he didn't like any of the three foods but I would assume the former explanation would be more accurate.
169,food allergy,didn't eat,7,7,7,7,7,7,7,7,it was based on logic
170,food allergy,didn't eat,7,7,7,7,7,7,7,1,if he knew he wouldn't eat it
171,food allergy,didn't eat,4,4,5,4,5,6,4,1,"I wasn't sure if he knew or didn't know that the food items contained benzatrate. So, for some of the answers, I gave a rating of ""4."" For some of the other answers, they sounded pretty good as being a good explanation for why he didn't eat the appetizer. So, I gave those a rating of ""5"" or higher. And for the ones that were not good explanations, I gave them lower scores."
172,food allergy,didn't eat,7,7,7,6,6,6,5,2,"Since Jacob is severely allergic to benzatrate, he would probably be aware of what foods contain the additive. It's more likely he'd be aware of the additive in one food than in all three."
174,food allergy,didn't eat,5,6,6,5,5,6,6,2,He knows what food contain the things he is alergic to.
177,food allergy,didn't eat,7,7,7,7,7,7,7,1,"Since all of the ingredients contained benzatrate, the fact that Jacob knew any 1 of the ingredients contained benzatrate is an excellent reason for him not eating the appetizer."
179,food allergy,didn't eat,4,4,4,5,5,5,6,1,"David won't eat the appetizer if either of the 3 dishes contain benzatrate. So, I went with statements with closeness to this."
180,food allergy,didn't eat,3,3,3,5,5,3,7,7,It is not enough for David to know that one or two appetizers contained benzatrate for him to not eat any appetizer at all. A very good explanation for not eating any appetizer at all would be that David knew or did not know that all three appetizers contained benzatrate because that would explain why he didn't eat any.
182,food allergy,didn't eat,7,7,7,7,7,7,7,7,He is allergic and any one of them could have been contaminated with the allergan.
183,food allergy,didn't eat,6,6,6,6,6,2,6,2,here David knew that he has an allergic to a common food additive called benzatrate. in the party the appetizer served contains benzatrate. so  david didn't eat the appetizer. this is really good decision made by david.
184,food allergy,didn't eat,4,4,4,4,4,4,4,4,I have no sure way of knowing that David knew.
185,food allergy,didn't eat,3,3,3,3,3,3,3,4,what does benzatrate even mean? matt didnt explain it
186,food allergy,didn't eat,7,7,7,7,7,7,7,1,"If he knew about it, obviously he wouldn't eat it."
187,food allergy,didn't eat,4,4,4,5,5,5,7,1,"Since Jacob is allergic to a common food additive, he must have asked if any of the foods contained it. That's what any person who's allergic to anything would most likely do in order to avoid painful consequences. I rated statements containing only one or two products out of three less than 7 because the story involves all three ingredients, so the explanation should ideally mention all three of them."
188,food allergy,didn't eat,7,7,7,7,7,7,7,3,Matt would not want to eat any of the three ingredients if he knew that they contained benzatrate.
189,food allergy,didn't eat,6,6,6,3,4,2,3,3,some sentences are redundant 
190,food allergy,didn't eat,7,7,7,7,7,7,7,5,"Alex knew that all three ingredients contained benzatrate, so he is right to not eat the appetizer. It is better to be safe than sorry, especially concerning your health"
191,food allergy,didn't eat,7,7,7,7,7,7,7,6,Not knowing what an appetizer contains is a good reason to avoid eating it but even more so is it smart to avoid eating one that has ingredients that contain an allergen.  Especially when one can die of eating such an item. 
192,food allergy,didn't eat,7,7,7,7,7,7,7,1,He knew that at least one or all contained benzatrate.
193,food allergy,didn't eat,7,7,7,7,7,7,7,7,"It's easier to tell, because if one of them is there, he can reject the hole appetizer."
0,food allergy,ate,1,1,1,3,3,3,7,1,"It's obvious that Matt knew that whichever ingredient is not mentioned under ""didn't know"" list contains benzatrate. Say, he didn't know about 2 of 3 - maybe he thought that the volume of b. in the ingredient he knew about won't be enough to cause a severe onset of allergy. But if he didn't know about 1 of 3, it means he knew that 2 of 3 for sure contain b., and it's too careless then.to eat that appetizer. "
2,food allergy,ate,6,6,6,6,6,7,7,2,Matt woldn't have consumed the appetiser if he was aware that it contained benzatrate.
3,food allergy,ate,1,1,1,1,7,7,7,1,"If he's allergic to the substance, I think it's imperative for him to know what foods contain it so he doesn't accidentally ingest it."
5,food allergy,ate,1,7,6,6,7,6,7,1,I think if he knew he def would have not at this at all. 
6,food allergy,ate,3,3,3,3,3,3,3,3,"Alex should have been a little more cautious, but hungry people make mistakes. He should know all foods that contain the chemical he is allergic too or pay the price. "
10,food allergy,ate,3,4,5,5,3,5,4,6,Correct Answers 
11,food allergy,ate,7,7,7,7,7,7,7,1,"All those reasons were good ones, because any one would have had an effect. EXCEPT the last one. He did not know any contained it."
12,food allergy,ate,4,6,5,5,5,5,4,2,"Matt didn't know that the goat cheese contained benzatrate,and also he don't know that the bacon contained benzatrate and also he didn't know that the bell pepper contained benzatrate."
14,food allergy,ate,2,1,1,1,1,1,1,4,"I feel like he would know what things he's allergic to, and all of these are pretty common."
17,food allergy,ate,2,2,2,6,2,6,6,6,You want the person to be as descriptive as possible when explaining topics. 
24,food allergy,ate,3,3,3,3,3,3,3,1,"I rated all of them at 3 because I think that if someone is allergic to something, they should be very aware of what foods contain the ingredient they are allergic too. The only one I rated as 1 was that he knew, that is a very bad explanation because it doesn't make sense for him to eat it if he knows it contains benzatrate."
25,food allergy,ate,7,7,7,7,7,7,7,1,Alex would not cause himself to get allergies.
28,food allergy,ate,7,7,7,7,7,7,7,1,"Since he's allergic, the only way he could have eaten the appetizer is by not knowing that it contained benzatrate"
32,food allergy,ate,7,7,5,7,7,5,7,1,if he had known he would not have ate them 
35,food allergy,ate,7,7,7,7,7,7,7,1,"It is a very good explanation that he didn't know the ingredients in the foods he ate, It is a bad explanation that he knew because he wouldn't have ate it if he knew"
38,food allergy,ate,6,4,1,3,2,2,1,1,if you are allergic to something yo have to know what products contains that additive.
39,food allergy,ate,7,7,7,7,7,7,7,1,if he knows hes allergic the only logical explanation is he had no idea the food contained the allergin
42,food allergy,ate,6,6,6,6,6,6,6,2,"If he's allergic to it, he should know what foods it is in. However, why would he intentionally hurt himself."
43,food allergy,ate,1,1,1,1,1,1,1,1,"If this is a common food additive and he is allergic to it, he will know what foods commonly contain this additive.  Ignorance is not a valid excuse when it comes to food allergies."
49,food allergy,ate,5,4,5,6,4,3,5,6,best answerd.
54,food allergy,ate,7,7,7,7,7,7,7,1,"matt didnt know that the products contain benzatrate, other wise he would not have eaten it."
59,food allergy,ate,2,4,2,4,2,4,2,2,I think it would be very unreasonable for Matt to not know that any of the products aside from bell pepper contain something he is allergic to as they are very common.
63,food allergy,ate,4,4,4,4,4,4,4,4,Hope he don't know which food contain Benzatrate.
65,food allergy,ate,7,7,7,7,7,7,7,1,"If he knew at least one contained it, he would not have eaten the appetizer. "
66,food allergy,ate,1,1,1,1,1,1,7,1,He must be sure of all three to be willing to eat. So only knowing all three was a good explanation
67,food allergy,ate,4,4,4,7,7,7,7,1,He wouldn't have eaten the allergens if he'd known they were there.  It really doesn't matter how you word it.  
69,food allergy,ate,7,7,7,7,7,7,7,1,"He could have easily not known about all three, but if he KNEW about it, that wouldn't make sense."
70,food allergy,ate,4,4,4,4,4,4,4,1,"I gave him 4's for when he didn't  know, because he should have asked until he did know so it's not really a good explanation.  I gave him a 1 for when he did know, because he shouldn't have eaten it then."
75,food allergy,ate,7,7,7,7,7,7,7,1,It doesn't make any sense that he would eat the appetizer if he knew any of the ingredients contained benzatrate. It makes more sense if he didn't know that any single one of the ingredients contained benzatrate.
77,food allergy,ate,5,5,5,5,5,5,5,5,All of the explanations seem good.
78,food allergy,ate,5,5,7,4,5,4,1,6,With alex being allergic I feel it's logical to asume he wasn't aware the allergens were in the food. 
81,food allergy,ate,7,7,7,7,7,7,7,1,"If Jacob knew that these food items contained benzatrate, he would not have eaten them."
82,food allergy,ate,2,1,2,1,1,1,1,1,"If he is severely allergic he should know all of these things, or should have the common sense to find out before eating."
83,food allergy,ate,4,4,4,4,4,4,7,7,"Well, if he knew that at least one or two things contained the allergy, he's at fault and kind of dumb. But if he didn't know anything that he ate contained it, then that is understandable."
90,food allergy,ate,6,7,6,5,6,6,4,1,I do not think that David knew that bell pepper had the ingredient benzatrate.
91,food allergy,ate,5,5,5,5,5,5,7,1,He would not have eaten it if he had known 
92,food allergy,ate,2,2,2,3,3,3,7,1,Since all of the food items contained benzatrate an explanation would have to contain the fact that all three of them had this additive. Listing just one or two is a bad explanation. 
93,food allergy,ate,3,2,1,1,1,1,1,7,He knows everything correct.
95,food allergy,ate,7,7,7,7,7,7,7,1,Jacob obviously didn't know that benzatrate was in the appetizer at all.
97,food allergy,ate,5,5,6,6,6,6,5,4,Alex should have asked if the items contained the ingredient her was allergic to . It is sorta his own fault. 
98,food allergy,ate,7,7,1,7,7,7,7,1,Had a severe allergy
99,food allergy,ate,3,3,3,3,3,4,1,1,"If he knows he has this allergy, he needs to be knowledgeable about what foods he's allergic to. All 3 food items contain it, so at least 1 of the 3 should have alerted him that he shouldn't eat the food. In reality, he should know all 3 are allergens."
100,food allergy,ate,6,6,6,6,6,5,5,5,IT'S AN ALERGIC COMMON FOOD ADDITIVE
101,food allergy,ate,2,2,2,2,2,3,2,7,Jacob know very well that all three items make benzatrate. 
104,food allergy,ate,5,5,5,5,5,5,5,1,"If David knew that the foods contained benzatrate, it would be a very bad explanation of why he ate the foods. If he didn't know, it would be a good explanation, but he should have asked about the ingredients, or have more knowledge of what types of foods contain the additive."
105,food allergy,ate,6,6,6,6,6,6,6,2,"Since Alex is severely allergic, Alex would have wanted to avoid benzatrate. The way I see it, Alex wouldn't have known the appetizers contained the additive - that explains the carelessness. "
110,food allergy,ate,1,1,1,1,1,1,7,1,"I can understand it if he didn't know any of the ingredients had benzatrate, but if he knew even one of them did why would he eat the dish anyway?"
112,food allergy,ate,7,7,7,7,7,7,7,1,Alex would have only eaten the food not knowing it contained the additive he is allergic to.
113,food allergy,ate,7,7,7,7,7,7,7,1,Alex didn't know that the ingredients contained benzatrate.
114,food allergy,ate,1,1,1,1,1,1,7,1,"He had to have not known any of them contained the additive. If he knew one of them did, then he wouldn't take it. "
115,food allergy,ate,7,7,7,7,7,7,7,1,"If he didn't know the food contained benzatrate, then it's understandable that he would eat it."
117,food allergy,ate,7,7,7,7,7,7,7,2,"If he didn't know, then eating it was not a bad idea if he felt like it."
119,food allergy,ate,6,3,4,3,3,4,5,5,I made my judgement off of my gut feeling.
122,food allergy,ate,6,6,6,7,7,7,6,5,very intersting
124,food allergy,ate,1,1,1,1,1,1,7,1,The only good explanation would be that Jacob wasn't aware of the food additive in the appetizer at all. Picking and choosing implies that he was aware of benzatrate in some of the food.
125,food allergy,ate,6,6,6,7,7,7,7,1,Alex wouldn't eat the appetizers if they had food additives that dangerous to Alex.
127,food allergy,ate,6,6,6,6,6,6,6,2,David wouldn't have eaten any of them if eh knew they had benzatrate.
128,food allergy,ate,7,7,7,6,6,6,5,1,I think it's unlikely that Jacob didn't know any of them contained benzatrate. It is more likely that he didn't know a couple of the items contained this ingredient. It's very unlikely that he ate it knowing they all contained it.
130,food allergy,ate,4,4,4,4,5,5,4,4,I just did hat
131,food allergy,ate,7,7,7,7,7,7,7,1,I figured David would not eat something knowing that he was allergic to it.
132,food allergy,ate,5,3,4,6,2,5,3,6,just my opinions
133,food allergy,ate,5,3,5,4,3,6,4,4,I do not feel that any of them were intentional. 
134,food allergy,ate,7,7,7,7,7,7,7,1,I don't think he knew what the ingredients were that was in the appetizer because he ate them. I do not think he would have put himself at risk like that if he had known what was in the appetizers.
135,food allergy,ate,6,6,6,7,7,7,7,1,given that he is severely allergic to bebzatrate I dont think he would knowingly eat an appetizer containing so much of it
136,food allergy,ate,7,6,7,6,7,7,6,1,I'm assupming david didn't know that they were made from benzatrate therefore he ate them.
138,food allergy,ate,7,7,7,7,7,7,7,1,He ate the food only because he didn't know any component contained benzatrate.
139,food allergy,ate,7,6,7,6,7,6,6,7,very nice
142,food allergy,ate,5,5,6,5,4,5,4,3,"I think Matt didn't expect for the additive to be in the dip, thus he ate it thinking that benzatrate wasn't in ti."
149,food allergy,ate,5,5,5,5,5,5,5,4,I think David was not aware that it contains benzatrate
151,food allergy,ate,6,7,6,5,4,5,6,5,i know about that judgements
152,food allergy,ate,5,5,5,6,5,6,6,5,nice
153,food allergy,ate,4,3,4,5,4,4,5,4,Jacob was not aware of the benzatrate in the bacon and goat cheese which I don't think he is responsible for.
154,food allergy,ate,5,5,5,5,5,5,5,1,He didn't know that all of them contained denzatrate or else he would have not eaten it.  So anything where it says he didn't know is true
155,food allergy,ate,1,1,1,1,1,1,1,1,He knew at least one had benzatrate i all circumstances so no reason to eat it was just
156,food allergy,ate,5,6,6,6,6,5,7,4,Just makes the most sense overall
157,food allergy,ate,7,5,3,6,5,4,5,5,He might have been unaware that all three of any of these items contained the allergen but I would be more convinced that he would be unfamiliar with goat cheese because it is not as common.
164,food allergy,ate,4,5,5,3,5,4,3,4,I think Alex was unaware of what he was doing.
165,food allergy,ate,7,6,7,6,6,6,6,6,nice
167,food allergy,ate,2,2,2,3,3,3,6,1,He should have only eaten it if he didn't know it was in all three items
168,food allergy,ate,4,6,2,2,2,2,2,5,"If he's severely allergic to something I assume he would know most foods that contain that ingredient. Like Bacon. Maybe bell pepper would be something he didn't know, but I'm still skeptical. Those of us with allergies like this KNOW what we can and cannot put into our bodies. "
173,food allergy,ate,6,5,6,5,5,4,5,1,It is likely David did not know what was in the appetizers
175,food allergy,ate,7,7,7,7,7,7,7,1,why would he be that stupid if he knew it would cause a reaction unless he was wanting a pitty party
176,food allergy,ate,2,2,2,2,2,2,7,1,The only explanation that works is when matt didn't know all three ingredients contained benzatrate. If he knew of even one it is idiotic for him to eat the appetizer
178,food allergy,ate,7,7,7,7,7,7,7,1,He didnt know so almost all the sentences make perfect sense
181,food allergy,ate,1,1,1,1,1,1,1,1,"Matt should have known to ask before eating, and when in question don't eat it! "
0,robbery,arrested,7,7,7,7,7,7,7,1,"Each of these crimes is enough to arrest David, so it doesn't matter whether the officer knows about all three robberies, only two of them, or only one of them."
2,robbery,arrested,6,7,6,7,7,6,6,2,Officer must have assumed that Robert could be only culprit by his experience.
3,robbery,arrested,4,4,4,5,5,5,7,1,The officer would have to have been at one of the places to see at least one of the crimes committed.  I would assume that if he were at more than one venue he would positively conclude that Matt is the serial robber.
5,robbery,arrested,1,1,1,1,1,1,1,7,It doesn't really ay much here and how the evidence was put together to arrest Matt. 
6,robbery,arrested,7,7,7,7,7,7,7,7,"If the officer knew Jacob had robbed any store, he was right in arresting him. "
10,robbery,arrested,2,4,4,5,3,4,5,5,Correct Answers 
11,robbery,arrested,7,7,7,7,7,7,7,4,Any one of these could have had him arrested. Even the last. He could have don something else.
12,robbery,arrested,4,4,5,5,5,5,7,2,"jacob was arrested because he committed three robberies, The police officer arrested him and taking custody to investigating to know about that three store robberies."
14,robbery,arrested,5,5,3,4,3,3,6,6,"I don't think he knew that he robbed all three places, or even one. I don't know what he picked Jacob up for."
17,robbery,arrested,3,5,5,6,6,3,6,5,You want to be as descriptive as possible and include as much information as possible about the criminal. 
24,robbery,arrested,5,5,5,5,5,5,7,2,"All of them are pretty good explanations because if the officer KNEW that Alex committed any of the robberies, he should be arrested. The only one that doesn't make too much sense is the office arresting him without knowing. "
25,robbery,arrested,7,7,7,7,7,7,7,1,The officer should arrest someone if they know they committed the crime.
28,robbery,arrested,7,7,7,7,7,7,7,1,"It's a small town, it's was easy for the officer to know what stores Matt had robbed."
32,robbery,arrested,5,6,7,5,6,7,6,2,i think he was where all the robberys were at the time 
35,robbery,arrested,7,7,7,7,7,7,7,1,"The officer knew Alex had robbed a store, I feel that the combination of which stores is all good explanations because he could have knew about one, two or all three but he at least knew one."
38,robbery,arrested,5,5,5,6,6,6,7,6,every case was a good explanation for the arrest of alex .
39,robbery,arrested,6,6,6,6,6,6,6,2,if david was arrested its a pretty good bet the police had a good suspicion he committed the robberies. they couldnt be 100% sure but sure enough to arrest him
