,Subject,Condition,Explanation 00,Explanation 01,Explanation 02,Explanation 03,Explanation 04,Explanation 05,Explanation 06,Explanation 07,Explanation 08,Explanation 09,Explanation 10,Explanation 11,Explanation 12,Reasoning
65,17,2,4,1,2,1,2,7,1,1,1,1,1,7,7,"""""""Because Alex doesn't like clowns""
"
66,17,3,4,4,1,1,7,5,1,6,5,1,1,6,5,"""""""Because Matt dislikes clowns""
"
67,17,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
68,18,1,6,1,5,6,3,7,3,1,1,6,6,7,7,"""""""Jacob doesn't like clowns and is indifferent to the other acts""
"
69,18,2,6,1,4,2,4,7,2,2,2,3,2,7,7,"""""""David sitting between rows A and B would seem to indicate that he preferred to see the acts that performed on those stages and didn't particularly want to see the act on stage C.  Since David dislikes clowns""
"
70,18,3,7,6,3,1,5,6,3,6,6,1,1,6,6,"""""""Matt doesn't like clowns and presumably does not particularly want to watch the clown act.  So it make the most sense for Matt to sit in the very middle so that he can view all stage if he does not know where  any of the act will be performing.  It also makes sense for Matt to sit in the middle if he knows the clown is performing on either of stages A or C because the center is as far as he can get away from those stages.  However""
"
71,18,4,6,7,2,2,5,2,5,7,7,2,2,2,2,"Alex presumably want to be as far away as possible from the clown.  Any scenario where Alex knows the clown is closer to him than stage A is a poor explanation.  It is a good explanation when Alex knows the clown is on stage A or when he doesn't know where any of the acts will be performing.
"
72,19,1,5,1,4,1,4,7,1,1,7,1,1,7,7,"""""""Jacob wants to sit far from the clown""
"
73,19,2,5,1,5,1,4,7,2,1,1,1,1,7,7,"Map chose the spot farthest from the clown.  Either that or he didn't know where any of the performers would be.
"
74,19,3,5,5,4,1,5,4,4,4,5,1,1,3,5,"David did not use good judgment in choosing seat B.   There is a chance the clown will be directly in front of him.   Otherwise the clown will be to the left or to the right of him.   David probably did not know where any of the performers would be.
"
75,19,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
76,20,1,3,1,4,1,4,7,1,1,1,1,2,7,6,"He wanted to be as far from the clown as he could be.
"
77,20,2,3,1,1,1,1,6,1,1,1,1,1,5,1,"he wanted to be far from stage A but also consider that the clown might be somewhere else.
"
78,20,3,7,1,1,1,1,1,1,1,1,1,1,1,1,"Jacob has no idea where anyone is going to be.  He also doesn't seem to care.
"
79,20,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
80,21,1,3,1,7,5,2,7,2,1,1,7,7,7,7,""""""" I believe that if the clown was on stage C then he picked a poor seat""
"
81,21,2,4,1,5,1,5,7,1,1,1,1,1,7,7,"""""""It makes sense for Jacob to sit between the acrobat and magician""
"
82,21,3,4,4,3,1,5,5,2,4,4,1,1,4,4,"""""""I think that a middle seat is an odd choice.  I think its odd because no matter where the clown is""
"
83,21,4,4,7,2,3,3,-1,5,7,7,3,4,1,1,"""""""To me""
"
84,22,1,3,1,4,4,4,7,2,1,1,3,4,6,6,"""""""David chose a viewing position at the extreme end""
"
85,22,2,6,1,5,4,4,7,2,2,2,2,2,6,6,"""""""Jacob chose a position where he would get an equally good view of two stages and less good view of a third. It's possible he had no idea who would be where""
"
86,22,3,6,5,1,1,6,6,1,5,5,1,1,5,5,"""""""Alex chose a central seating position where he would not be too far from any of the stages. As he dislikes one of the acts""
"
87,22,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
88,23,1,2,1,6,4,5,7,1,1,1,4,3,7,7,"""""""As Matt dislikes clowns""
"
89,23,2,1,1,6,2,6,7,1,2,2,2,2,7,7,"""""""David did not like clowns. So he would want to sit as distant from him as possible. Therefore""
"
90,23,3,3,6,6,1,7,6,6,6,6,1,2,6,6,"""""""As Jacob dislikes clowns""
"
91,23,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
92,24,1,6,1,6,2,4,6,3,1,1,3,4,6,7,"Jacob dislikes clowns but not interested in others. So he is totally not serious
"
93,24,2,6,1,6,1,6,7,1,2,2,2,2,7,7,"""""""Matt believed that the clown would be on Stage A""
"
94,24,3,6,6,4,1,6,7,4,5,6,1,1,5,5,"He is shrewd. He chose the right middle section to sit. He can enjoy all performances. 
"
95,24,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
96,25,1,7,1,4,4,4,7,4,1,1,4,4,7,7,"Obviously he wanted to sit as far away from the clown as possible so any scenario where the clown was in C was the best explanation. The next best explanation would just be anything random where he didn't know where any of the performers would be.
"
97,25,2,7,1,4,1,4,7,4,1,1,1,1,7,7,"Again anything with the clown in C makes sense because he would try to sit as far away from the clown as possible.
"
98,25,3,7,4,4,1,7,4,4,4,4,1,1,4,4,"Anything with the clown in B is bad because he would not want to be near the clown. Here I think he took the middle seat and hoped for the 2/3 chance that the clown was not in B. So the explanation where the magician is in B would be a good one as well.
"
99,25,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
100,26,1,6,1,5,5,2,6,1,1,1,4,3,6,6,"""""""""""""""The only thing that matters is where the clown is""
"
101,26,2,5,1,2,4,1,7,1,1,1,3,3,5,5,"""""""""""""""David dislikes the clown""
"
102,26,3,6,5,1,1,4,4,1,4,5,1,1,6,4,"""""""""""""""Alex doesn't want to sit in front of the clown""
"
103,26,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"""""""""""""""""""""""""""""
"
104,27,1,7,1,7,1,4,4,4,1,1,4,4,4,7,"""""""""""""""The clown cannot be at A because David chose to sit there.  I believe the clown is at C because this stage is the furthest from where David is sitting.  I believe the magician is at A and the acrobats are at B.  I chose A and B respectfully because David is indifferent towards acrobats and magicians.""""""""""""""
"
105,27,2,5,1,7,1,4,7,1,1,1,1,1,7,7,"""""""""""""""I believe the clown is at A because Jacob dislikes clowns and A is the furthest stage from where he is sitting.  B is acrobats and C is magicians""
"
106,27,3,7,1,7,1,5,7,4,1,1,1,1,7,7,"""""""""""""""I believe the clown is at A or C""
"
107,27,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"""""""""""""""""""""""""""""
"
108,28,1,4,7,1,1,6,1,7,6,7,1,1,1,1,"ALEX DISLIKES CLOWNS AND HE BELIEVED THE CLOWNS WOULD BE O STAGE A.
"
109,28,2,7,6,5,6,5,1,5,5,5,5,4,5,5,"DAVID DISLIKES CLOWNS UT HE DOES NOT SURE THE CLOWNS WOLD BE ON STAGE A OR STAGE B.
"
110,28,3,7,1,7,7,1,3,7,2,3,7,7,2,2,"JACOB DISLIKES CLOWNS AND HE BELIEVED THE THE CLOWN WOULD BE ON STAGE B.
"
111,28,4,7,5,5,5,5,5,5,5,5,5,5,5,5,"Matt didn't know where any of the performers would be
"
112,29,1,4,1,5,1,5,7,4,1,1,1,1,7,7,"""""""C for the clown makes the most sense because it's furthest away from where Jacob chose to site. As for the other 2 performers""
"
113,29,2,1,1,7,1,4,7,1,1,1,1,1,7,7,"C again makes perfect sense for the clown due to David's distaste for clowns. A and B again are of no concern because David is indifferent toward each of the other two performers.
"
114,29,3,7,1,1,1,4,1,1,1,1,1,1,1,1,"Had Mike known where each of the performers were he would not have chosen the middle seat. He has good vision of all 3 performers from the middle seat. Had he known he would have chosen the extreme left or right depending on where the clown was.
"
115,29,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
116,30,1,1,1,1,1,1,7,1,1,1,1,1,7,7,"Matt dislikes clowns. So he hopes the clown would be on stage C. All other explanations are bad.
"
117,30,2,1,1,2,1,2,7,2,1,1,1,1,7,7,"Jacob dislikes clowns. So he thinks the clown would be on stage A. So he sat far from stage a and has equal visibility to B and C.
"
118,30,3,1,7,1,1,6,6,6,7,7,1,1,7,7,"He thinks the clown would be either on A or C. In both case he can avoid the clown.
"
119,30,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
120,31,1,1,1,1,3,3,4,3,1,1,1,7,1,7,"Matt would choose to sit as close to the acrobat as possible and as far from the clown and magician as he could.
"
121,31,2,1,1,2,1,2,7,1,1,1,2,3,7,7,"Dave would want to sit as far from the clown as possible and in between the performers he has an indifferent attitude towards.
"
122,31,3,7,4,4,4,4,4,4,4,4,4,4,4,4,"IIf Alex dislikes clowns and is indifferent toward the other performers he would sit in between the performers he was indifferent toward and choose one performance to watch if the clown was in the middle.
"
123,31,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
124,32,1,7,1,1,2,1,7,1,1,1,2,2,7,7,"""""""According to the scenario""
"
125,32,2,7,2,2,2,1,7,1,2,2,2,2,7,7,"""""""According to the scenario""
"
126,32,3,7,5,1,1,1,5,1,5,5,1,1,5,5,"""""""David would NOT choose to sit under Stage B if the clown is performing there. So the statements that have the clown performing on stage B are very bad explanations. The statements that have the clown performing either on Stage A or Stage C are good but not very good explanations as that would still be somewhat near stage B. As David is indifferent toward acrobats and magicians""
"
127,32,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
128,33,1,2,1,4,1,3,6,1,1,1,1,1,6,6,"""""""He didn't like clowns and would want to sit as far away from the clown stage as possible""
"
129,33,2,2,1,6,1,5,7,1,1,1,1,1,5,5,"""""""Matt doesn't like clowns and he wanted to sit away from them so he wouldn't see them much.  If he sits in between B & C""
"
130,33,3,6,4,2,1,4,4,2,4,4,1,2,4,4,"""""""If David dislikes clowns he wouldn't want to sit directly in front of them""
"
131,33,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
132,34,1,1,1,7,6,2,5,5,1,1,6,6,6,6,"he would not have a good explanation when claiming the clown would be on stage C but yet it would be good if any other was 
"
133,34,2,2,1,5,1,5,7,1,2,2,1,4,7,7,"the last would be the best option but really any with clown on B or C would not be good
"
134,34,3,1,5,1,1,7,5,1,5,6,1,1,4,6,"anywhere the clown is not B is a good explanation
"
135,34,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
136,35,1,5,4,5,4,5,3,5,5,3,3,4,3,4,"Just I try to make logical and rational decisions according to my tastes and preferences without letting myself be affected by strategies
"
137,35,2,4,3,3,4,5,5,3,3,3,5,5,3,5,"Basically I find appropriate descriptions or not based on the history and situation
"
138,35,3,3,5,4,4,4,4,5,5,3,5,3,3,4,"Basically I find appropriate descriptions or not based on the history and situation
"
139,35,4,4,3,3,3,5,3,4,5,5,4,5,4,4,"Basically I find appropriate descriptions or not based on the history and situation
"
140,36,1,1,1,7,4,1,1,1,1,1,7,7,7,7,"""""""I marked very bad for any of the statements where the clown""
"
141,36,2,7,1,7,1,5,7,1,1,1,1,1,7,7,"""""""If Matt dislikes clowns""
"
142,36,3,7,4,1,1,4,4,4,4,4,1,1,4,4,"Most of the explanations were in the middle. I think the most likely explanation is that Alex didn't know where anyone would be because he chose a section directly in the middle.
"
143,36,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
144,37,1,1,1,3,4,3,7,4,1,1,4,4,7,7,"""""""Basically""
"
145,37,2,1,3,4,3,2,7,3,3,3,3,4,7,7,"""""""Matt wants to equally see acrobats and magicians""
"
146,37,3,7,3,3,1,4,4,4,5,3,1,1,4,4,"""""""I don't think he knew where the clown would be""
"
147,37,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
148,38,1,1,1,3,2,4,7,1,1,1,3,1,7,7,"Alex would want to be as far away from the clown as possible if he had an aversion to them.
"
149,38,2,3,1,5,1,5,7,1,1,1,1,2,7,7,"Matt would not want to be near the clown if it didn't like them.  The positioning of the others doesn't matter.
"
150,38,3,7,7,4,1,5,7,4,1,7,1,1,7,7,"He chose a central location as to avoid the clown.
"
151,38,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
152,39,1,4,1,6,4,3,7,3,1,1,5,4,6,5,"""""""David would like to not be near the clown""
"
153,39,2,5,2,3,1,3,7,1,1,2,2,2,7,7,"""""""The seat Alex chose is equally close to B and C so that he would prefer if the Clown were only on Stage A.  Any explanation that places the clown in B and C is poor""
"
154,39,3,5,6,3,1,4,6,3,6,6,1,1,6,6,"Jacob just would want to avoid the Clown being on Stage B so anything that causes that to come to pass would be a good explanation of why he chose the seat he did.
"
155,39,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
156,40,1,3,1,4,4,4,4,4,1,1,4,4,4,4,"I chose neutral for most tasks that did not have the clowns on stage A as Matt dislikes clowns
"
157,40,2,4,2,4,2,4,4,3,1,1,3,2,4,4,"As long as the clown was not on stages B/C the judgement was neutral
"
158,40,3,4,4,4,1,4,3,4,4,4,1,1,3,3,"There is no particular good judgement in this case as all stages can be sen by Alex
"
159,40,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
160,41,1,3,1,5,7,4,7,4,1,1,5,6,4,5,"""""""I think Alex believed that clown will be on a stage B and one of others on A and C""
"
161,41,2,5,1,4,1,4,7,1,2,1,2,1,7,7,"""""""I think Matt believed that clown would be on Stage C""
"
162,41,3,7,5,5,1,5,5,3,4,5,1,1,4,5,"""""""I think David did not know where any of the performers will be""
"
163,41,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
164,42,1,6,1,5,3,4,7,1,5,4,4,4,7,7,"I believe he want to pick one spot for get far away of clown
"
165,42,2,7,1,7,1,4,7,1,1,3,3,1,7,7,"Because he can see the two one!
"
166,42,3,7,3,3,2,5,3,7,4,5,3,2,2,5,"I believe he tried to not see clowns
"
167,42,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
168,43,1,4,1,2,5,2,7,2,1,1,5,2,7,7,"""""""My judgments were based on the fact that Jacob dislikes clowns. It's only understandable that he would not choose to sit close to Stage A if the clown is performing on Stage A. That is why the explanations stating that the clown performs on Stage C sounds very good to me. Being indifferent toward acrobats and magicians""
"
169,43,2,5,3,2,3,2,7,1,3,3,3,3,7,7,"""""""Even here""
"
170,43,3,7,5,2,1,3,5,2,5,5,1,1,5,5,"""""""The explanation that David chooses to sit under Stage B when clown is performing on Stage B sounds very bad to me because he dislikes clowns. The explanation that David chooses to sit under Stage B when clown is performing on Stage A or Stage C sound good explanations""
"
171,43,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
172,44,1,4,5,4,4,5,4,4,5,3,4,5,4,6,"went with my gut feeling over what i read.
"
173,44,2,4,4,5,5,4,3,6,5,5,6,4,4,3,"went with my gut feeling over what i read.
"
174,44,3,6,5,4,6,3,3,5,5,5,4,4,4,4,"went with my gut feeling
"
175,44,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
176,45,1,4,7,4,4,4,4,4,7,7,4,4,4,4,"""""""Matt does not like clowns and since A is x out""
"
177,45,2,4,7,4,7,4,1,4,7,7,7,7,1,1,"If is likely he thought that the clown would be on either stage A or B.
"
178,45,3,4,1,4,7,1,1,4,1,1,7,7,1,1,"It is likely he thought the clown was on stage B.
"
179,45,4,4,7,1,1,4,1,4,7,7,1,1,1,1,"It is likely he thought that the clown was on stage C.
"
180,46,1,7,2,2,2,2,2,2,2,2,2,2,2,2,"Matt didn't know where any of the performers would be
"
181,46,2,2,2,2,2,2,7,2,2,2,2,2,7,7,"Jacob beleive clown in stage C
"
182,46,3,7,2,2,2,2,2,2,2,2,2,2,2,2,"Alex didn't know where any of the performers would be
"
183,46,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
184,47,1,7,1,5,5,5,6,1,2,1,3,3,6,6,"""""""Most people dislike clowns""
"
185,47,2,2,3,5,3,5,7,6,3,3,3,3,7,7,"""""""Alex knew where the performers would be""
"
186,47,3,2,2,6,6,2,2,6,3,3,6,6,3,3,"""""""Jacob knew that the clown would be in the middle""
"
187,47,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
188,48,1,1,1,1,1,2,7,1,1,1,1,1,4,4,"""""""His main care is that the clown is as far away from him as possible. So""
"
189,48,2,1,1,1,1,1,7,1,1,1,1,1,4,4,"""""""Again""
"
190,48,3,7,3,1,1,2,5,1,3,3,1,1,3,3,"""""""He is equidistant to the two side points""
"
191,48,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
192,49,1,6,1,3,5,2,6,2,1,1,4,3,6,6,"""""""I think if Matt knows where the clown is""
"
193,49,2,6,1,3,4,3,5,3,1,3,2,3,6,6,"I assume Jacob would like to stay away from the clown if he knows where the clown is.
"
194,49,3,6,4,4,1,4,4,4,4,4,4,4,4,4,"""""""Again""
"
195,49,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
196,50,1,7,1,6,5,5,6,5,1,7,3,1,7,6,"""""""""""""""I know that alex doesnt like clowns so obviously he wouldnt choose a if he thought the clown would be there and  I am sure he wouldnt want to be close to the clown in b.""""""""""""""
"
197,50,2,7,1,7,1,5,7,2,1,1,1,1,7,7,"""""""""""""""Matt dislikes clown so where he put himself is away from c. """"""""""""""
"
198,50,3,7,4,4,1,5,4,3,4,5,1,1,4,4,"""""""""""""""David doesnt like clowns so the clown isnt in b. It is either in a or c.""""""""""""""
"
199,50,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"""""""""""""""""""""""""""""
"
200,51,1,6,1,4,3,3,7,4,1,1,4,2,5,7,"""""""In general""
"
201,51,2,7,3,5,2,3,6,3,2,1,1,2,4,5,"I favored the explanations where David believed the clown would be on stage C or where he didn't know. However I didn't rate any of the explanations with lots of information very highly because I am assuming that more information makes something less likely.
"
202,51,3,7,5,5,1,5,5,5,4,2,1,1,4,3,"I favored the simpler explanations where Alex wouldn't be sitting right in front of the clown.
"
203,51,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
204,52,1,7,1,1,1,1,1,1,1,1,1,1,1,1,"It does not say who will be where 
"
205,52,2,7,1,1,1,1,1,1,1,1,1,1,1,1,"He does not know who is where so none of these explain why exccept the one that says he does not know
"
206,52,3,7,1,1,1,1,1,1,1,1,1,1,1,1,"How does he know it does not explain how he pick where he was going to sit
"
207,52,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
208,53,1,1,1,7,7,7,7,1,1,1,7,7,7,7,"I think alex would do everything possible to avoid clowns so he would know where a clown would not be.
"
209,53,2,7,1,7,1,7,7,7,1,1,7,7,7,7,"""""""I think david would do everything possible to avoid clowns so since he is in the middle of b and c""
"
210,53,3,1,7,7,1,7,7,7,7,7,1,1,7,7,"I think jacon would do everything possible to avoid clowns so he would know where a clown would not be.
"
211,53,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
212,54,1,5,1,4,2,3,7,1,6,1,2,2,5,5,"He would avoid at all costs to sit near the clown.
"
